TMP‑Respo,Datei,Grund
tmpPP,achse-datei-9.csv,Achse = immer Treffer
tmpOMG,achse-dateien-9.csv,Multi‑Achse stabil
tmpPQ,datei-zweck-14.csv,Zweck = universell
tmpZ,datei-neuer-name-9.csv,Name = stabil
tmpY,eintrag-bedeutung-24.csv,Eintrag = sicher
tmpD,phase-bedeutung-6.csv,Phase = stabil
tmpX,rolle-bedeutung-6.csv,Rolle = stabil
tmpW,seite-zerlegung-4.csv,Zerlegung = sicher
tmpU,zerlegung-struktur-4.csv,Struktur = sicher
81.tmp,zustand-bedeutung-4.csv,Zustand = stabil
081.tmp,zustand-kanal-4.csv,Kanal = stabil
tmpS,zeichen-bedeutung-14.csv,Zeichen = sicher
tmpR,element-shader-effekt-5.csv,Shader = stabil
tmp,narrativ-truth-9.csv,Narrativ = stabil
tmpM,modul-datenstand-4.csv,Modul = sicher
tmpO,slot-modul-1.csv,Slot = sicher
